"","employers.id","employers.name","employers.website","employers.isEEP","employers.exactMatch","employers.industry","employers.numberOfRatings","employers.squareLogo","employers.overallRating","employers.ratingDescription","employers.cultureAndValuesRating","employers.seniorLeadershipRating","employers.compensationAndBenefitsRating","employers.careerOpportunitiesRating","employers.workLifeBalanceRating","employers.recommendToFriendRating","employers.featuredReview.id","employers.featuredReview.currentJob","employers.featuredReview.reviewDateTime","employers.featuredReview.jobTitle","employers.featuredReview.location","employers.featuredReview.jobTitleFromDb","employers.featuredReview.headline","employers.featuredReview.pros","employers.featuredReview.cons","employers.featuredReview.overall","employers.featuredReview.overallNumeric","employers.ceo.name","employers.ceo.title","employers.ceo.numberOfRatings","employers.ceo.pctApprove","employers.ceo.pctDisapprove"
"1",2282,"Morgan Stanley","www.morganstanley.com",TRUE,FALSE,"Investment Banking & Asset Management",2004,"https://media.glassdoor.com/sqll/2282/morgan-stanley-squarelogo.png",3.6,"Satisfied","3.6","3.2","3.3","3.4","3.2","0.7",6098781,FALSE,"2015-03-11 15:45:41.723","Equity Risk Analyst","New York, NY","Equity Risk Analyst","Excellent learning experience.  Decided financial services wasn't for me but I loved the people at MS and its culture","Mentorship, transparency, high expectations, smart & interesting people, great benefits","Like any bank, its very political and high pressure",4,4,"James P. Gorman","CEO",946,85,15
"2",8874,"Bank of America","www.bankofamerica.com",TRUE,FALSE,"Banks & Credit Unions",7886,"https://media.glassdoor.com/sqll/8874/bank-of-america-squarelogo.png",3.3,"OK","3.2","2.8","3.5","3.2","3.4","0.6",6116945,TRUE,"2015-03-14 11:53:25.25","Assistant Vice President","New York, NY","Assistant Vice President","There is a lot of work and you have to learn to work in a high pressured environment.","The work is fine and the people are great to work with on a daily basis.","The pay can be better for the work we do.",4,4,"Brian T. Moynihan","President & CEO",3359,76,24
"3",30287,"S&P Ratings","www.standardandpoors.com",TRUE,FALSE,"Financial Analytics & Research",292,"https://media.glassdoor.com/sqll/30287/s-and-p-ratings-squarelogo-1390940398410.png",3.1,"OK","3.0","2.4","3.3","2.8","3.8","0.5",5509537,FALSE,"2014-12-09 14:13:29.787","Business Development","New York, NY","Business Development","Great company.  Unfortunately, they have been going through reductions in staff.","Many products to sell and a great brand name.  I sold company data and international securities identifiers.","Too much turnover lately.  Company values have gone done on personal levels.",4,4,"Neeraj Sahai","President",32,47,53
"4",2899,"MetLife","www.metlife.com",TRUE,FALSE,"Insurance Carriers",1117,"https://media.glassdoor.com/sqll/2899/metlife-squarelogo.png",3.1,"OK","3.0","2.6","3.3","2.8","3.4","0.5",5711343,TRUE,"2015-01-16 09:27:17.71","Financial Services Representative","Long Is City, NY","Financial Services Representative","Great company with lots of opportunities.","Brand recognition, lots of ways to learn, grow. Decent support from management team(depends on which MD you are with)","Technology, IT sucks. Sales pressure(but, reasonable), conservative company culture.",4,4,"Steven A. Kandarian","President & CEO",375,68,32
"5",2919,"Northwestern Mutual","www.northwesternmutual.com",FALSE,FALSE,"Brokerage Services",1644,"https://media.glassdoor.com/sqll/2919/northwestern-mutual-squarelogo.png",3.7,"Satisfied","4.0","3.7","3.1","3.7","3.6","0.7",5843738,FALSE,"2015-02-03 17:42:52.417","College Financial Representative","New York, NY","College Financial Representative","Great learning experience, real chance to make good money...","Good sales school. Stipend acts as a separator from other similar insurance internships. Great post-intern opportunities because my mentor is well connected in the industry","Long hours during the summer and very little pay off in terms of cash flow ($100 a week stipend)",4,4,"John E. Schlifske","Chairman and CEO",368,95,5
"6",3736,"Capital One","www.capitalone.com",TRUE,FALSE,"Banks & Credit Unions",1797,"https://media.glassdoor.com/sqll/3736/capital-one-squarelogo.png",3.5,"Satisfied","3.7","3.1","3.7","3.2","3.7","0.7",5992188,FALSE,"2015-02-25 03:43:59.057","Teller I","Bronx, NY","Teller I","It helped me to learn more about customers and now I am able to provide a different level of customer service","Standard salary,  growth opportunities,  good benefits from a 401k with a good match up","Too much pressure and stress is put into the tellers",4,4,"Richard D. Fairbank","Founder, Chairman & CEO",945,87,13
"7",433,"McGraw Hill Financial","www.mhfi.com",TRUE,FALSE,"Investment Banking & Asset Management",224,"https://media.glassdoor.com/sqll/433/mcgraw-hill-squarelogo.png",3.4,"OK","3.6","2.9","3.6","3.0","3.9","0.8",6053420,TRUE,"2015-03-05 09:22:50.783","Data Associate","New York, NY","Data Associate","Great place to work!","Compensation is among the best in the workplace.
Benefits are great.
Additional perks depending on employee involvement.","Long hours depending on business units or projects.
Personal growth depends solely in the individual.",4,4,"Douglas L. Peterson","President & CEO",28,88,12
"8",327,"Hewlett-Packard","www.hp.com",TRUE,FALSE,"Computer Hardware & Software",10048,"https://media.glassdoor.com/sqll/327/hewlett-packard-squarelogo-1406132932361.png",3.3,"OK","3.2","2.7","3.1","3.0","3.4","0.6",6094984,TRUE,"2015-03-11 06:58:38.703","Technology Consultant IV","New York, NY","Technology Consultant IV","A lot of smart engineers but a lot of turnover","Work with a great team of people and all very good at what they do. The people in the trenches are great to work with, knowledgeable, dedicated.","Lot of layoffs and uncertainty. Lack of direction from middle and upper management. So many great products that never see the light of day.",4,4,"Meg Whitman","CEO",3959,78,22
"9",42559,"Broadridge","www.broadridge.com",TRUE,FALSE,"Investment Banking & Asset Management",301,"https://media.glassdoor.com/sqll/42559/broadridge-squarelogo.png",3.2,"OK","3.3","2.7","3.2","2.7","3.3","0.5",5997213,TRUE,"2015-02-25 14:28:49.133","Business Analyst","Deer Park, NY","Business Analyst","Great Company","Depends on who you manager is. But working here is good. Some low level Managers are horrible to work for.","i have one very bad experience with a dictator for a manager. Other than that the company is great. Great atmosphere.",5,5,"Richard J. Daly","CEO",158,84,16
"10",1737,"Oracle","www.oracle.com",FALSE,FALSE,"Enterprise Software & Network Solutions",6721,"https://media.glassdoor.com/sqll/1737/oracle-squarelogo.png",3.3,"OK","2.9","2.9","3.1","3.1","3.6","0.6",4968663,TRUE,"2014-09-14 18:30:34.283","Senior Practice Director","New York, NY","Senior Practice Director","Senior Practice Director","Team building and creating an environment for success","too many organization changes too often",5,5,"Safra A. Catz & Mark Hurd","CEO's",33,73,27
