"","company_name","overall_rating","num_reviews","company_url","headquarters","review_summary","link_to_reviews"
"1","IBM","3.0","13k","www.ibm.com","Armonk, NY","Exposure and diverse experience...too many options to explore within the company See all Reviews","http://www.glassdoor.com/Reviews/IBM-Reviews-E354.htm"
"2","J.P. Morgan","3.5","5.0k","www.jpmorganchase.com","New York, NY","good benefits, schedule, training, great coworkers, resources See all Reviews","http://www.glassdoor.com/Reviews/J-P-Morgan-Reviews-E145.htm"
"3","Citi","3.3","3.1k","www.citigroup.com","New York, NY","-Seminars, great culture, diverse and interesting employees, always welcomed as an intern See all Reviews","http://www.glassdoor.com/Reviews/Citi-Reviews-E8843.htm"
"4","Goldman Sachs","3.7","2.0k","www.goldmansachs.com","New York, NY","Good environment and good pay. See all Reviews","http://www.glassdoor.com/Reviews/Goldman-Sachs-Reviews-E2800.htm"
"5","Macy's","3.0","5.9k","www.macysjobs.com","Cincinnati, OH","There is a ton of opportunity to grow and move up within the company. There is a lot of support within positions. See all Reviews","http://www.glassdoor.com/Reviews/Macy-s-Reviews-E1079.htm"
"6","Morgan Stanley","3.6","2.0k","www.morganstanley.com","New York, NY","Mentorship, transparency, high expectations, smart & interesting people, great benefits See all Reviews","http://www.glassdoor.com/Reviews/Morgan-Stanley-Reviews-E2282.htm"
"7","Bloomberg L.P.","3.6","1.4k","www.bloomberg.com","New York, 061","I worked at Bloomberg for over 8 years. I was able to move to different departments. If you do a good job and they like you as a person, you will… See all Reviews","http://www.glassdoor.com/Reviews/Bloomberg-L-P-Reviews-E3096.htm"
"8","PwC","3.6","5.9k","www.pwc.com","New York, NY","Really enjoy working here. Work hard for a few months, take it easy for the rest. When you work hard they still treat you right. PwC does things well… See all Reviews","http://www.glassdoor.com/Reviews/PwC-Reviews-E8450.htm"
"9","Deloitte","3.6","7.5k","www.deloitte.com","New York, NY","One of the best companies to work for. Always great training, great benefits and pay. Loved the level of professionalism amongst the co-workers. See all Reviews","http://www.glassdoor.com/Reviews/Deloitte-Reviews-E2763.htm"
"10","EY","3.7","5.3k","www.ey.com","London, United Kingdom","Very smart people who are truly dedicated. See all Reviews","http://www.glassdoor.com/Reviews/EY-Reviews-E2784.htm"
"11","Bank of America","3.3","7.9k","www.bankofamerica.com","Charlotte, NC","The work is fine and the people are great to work with on a daily basis. See all Reviews","http://www.glassdoor.com/Reviews/Bank-of-America-Reviews-E8874.htm"
"12","American Express","3.6","2.2k","www.americanexpress.com","New York, NY","The company is truly focused on the setting expectations appropriately with all stakeholders, including shareholders, customers and employees… See all Reviews","http://www.glassdoor.com/Reviews/American-Express-Reviews-E35.htm"
"13","Columbia University","3.9","653","www.columbia.edu","New York, NY","Quality of students and faculty is outstanding Open, collaborative environment Emphasis on trans-disciplinary research Freedom to pursue a… See all Reviews","http://www.glassdoor.com/Reviews/Columbia-University-Reviews-E2748.htm"
"14","Credit Suisse","3.5","1.5k","www.credit-suisse.com","Zurich, Switzerland","- supportive co-workers, internal networking groups, energetic and focused colleagues, work-life balance - senior management is now showing genuine… See all Reviews","http://www.glassdoor.com/Reviews/Credit-Suisse-Reviews-E3141.htm"
"15","Thomson Reuters","3.3","2.9k","www.thomsonreuters.com","New York, NY","Laid back work environment, respectable colleagues, great management, great compensation. See all Reviews","http://www.glassdoor.com/Reviews/Thomson-Reuters-Reviews-E100303.htm"
"16","Johnson & Johnson","3.8","1.6k","www.jnj.com","New Brunswick, NJ","The work-life balance and culture was great, high beliefs in cross functional alignment which led to higher growth as an individual. Pay and… See all Reviews","http://www.glassdoor.com/Reviews/Johnson-and-Johnson-Reviews-E364.htm"
"17","KPMG US","3.6","3.3k","www.kpmg.com","New York, NY","I work with A - grade people who are enthusiastic about what they do. This is really great. The pay is average of the Big-4. See all Reviews","http://www.glassdoor.com/Reviews/KPMG-US-Reviews-E2867.htm"
"18","UBS","3.4","1.6k","www.ubs.com","ZÜRICH, Switzerland","great place to start a career. People were very interested in mentoring and was able to have a lot of responsibilities early on. See all Reviews","http://www.glassdoor.com/Reviews/UBS-Reviews-E3419.htm"
"19","Verizon","3.3","2.9k","www.verizon.com","New York, NY","Your skills/ training are constantly being upgraded, lots of on line courses for your selection. Benefits were probably the best available. Very… See all Reviews","http://www.glassdoor.com/Reviews/Verizon-Reviews-E89.htm"
"20","BNY Mellon","2.8","1.5k","www.bnymellon.com","New York, NY","People are very nice and caring See all Reviews","http://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78.htm"
"21","NYU (New York University)","4.0","510","www.nyu.edu","New York, NY","Fair and knowledgable bosses. When there's a time conflict with classes, they understand the student's priorities, and are willing to accommodate. See all Reviews","http://www.glassdoor.com/Reviews/NYU-New-York-University-Reviews-E2917.htm"
"22","Accenture","3.6","10k","www.accenture.com","Dublin, Ireland","Highly process-focused, matrixed and hierarchical organization built on respected principals and deep capabilities across virtually every area of… See all Reviews","http://www.glassdoor.com/Reviews/Accenture-Reviews-E4138.htm"
"23","Deutsche Bank","3.3","1.4k","www.deutsche-bank.de","Frankfurt, Germany","Great work life balance Lots of vacation days See all Reviews","http://www.glassdoor.com/Reviews/Deutsche-Bank-Reviews-E3150.htm"
"24","Cognizant Technology Solutions","3.6","6.7k","www.cognizant.com","Teaneck, NJ","Very good client count.and great opportunities See all Reviews","http://www.glassdoor.com/Reviews/Cognizant-Technology-Solutions-Reviews-E8014.htm"
"25","Chase","3.2","2.7k","www.chase.com","New York, NY","It is what you make of it.. At the time I was employed with Chase, investment and life insurance licensing was being offered- This allowed for good… See all Reviews","http://www.glassdoor.com/Reviews/Chase-Reviews-E690765.htm"
"26","AT&T","3.3","6.9k","www.att.jobs","Dallas, TX","Good office atmosphere Good Management and co-workers Learn quite a bit about Telecom and Wireline products and systems See all Reviews","http://www.glassdoor.com/Reviews/AT-and-T-Reviews-E613.htm"
"27","Merck","3.2","1.3k","www.merck.com","Whitehouse Station, NJ","Flexible schedule, Great People and great environment See all Reviews","http://www.glassdoor.com/Reviews/Merck-Reviews-E438.htm"
"28","AIG","3.0","875","www.aig.com","New York, NY","Good Work/Life Balance: Good Time Off See all Reviews","http://www.glassdoor.com/Reviews/AIG-Reviews-E40.htm"
"29","New York City Department of Education","3.2","393","schools.nyc.gov","New York, NY","Fulfilling profession and administration is understanding. See all Reviews","http://www.glassdoor.com/Reviews/New-York-City-Department-of-Education-Reviews-E105247.htm"
"30","Target","3.2","10k","www.target.com","Minneapolis, MN","Good employee benefits and discounts. See all Reviews","http://www.glassdoor.com/Reviews/Target-Reviews-E194.htm"
"31","Barclays Capital","3.0","857","www.barcap.com","London, United Kingdom","Flexible and decent paying back office consultant positions, I found the employees there to be very friendly and helpful to inexperienced hires. See all Reviews","http://www.glassdoor.com/Reviews/Barclays-Capital-Reviews-E27070.htm"
"32","Pfizer","3.6","1.3k","www.pfizer.com","New York, NY","Challenging Work. Lots of Big Company perks. Ok Salary. Great People to talk to. See all Reviews","http://www.glassdoor.com/Reviews/Pfizer-Reviews-E525.htm"
